query_id,query,company_filter,chunk_id,relevance_score,is_relevant,chunk_preview
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0015,0.832,0,"the purchasing preferences and behaviors of consumers may change, the financial condition of resellers could weaken, resellers could stop distributing the Compa"
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0008,0.727,1,"has also outsourced much of its transportation and logistics management. While these arrangements can lower operating costs, they also reduce the Company's dire"
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0004,0.657,1,"'s costs, and negatively impact consumer spending and demand in affected areas. The Company's operations are also subject to the risks of industrial accidents a"
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0002,0.635,1,"of the Company's manufacturing is performed in whole or in part by outsourcing partners located primarily in China mainland, India, Japan, South Korea, Taiwan a"
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0003,0.187,0,", Vietnam and the European Union (""EU""), among others. In response, several countries have imposed, or threatened to impose, reciprocal tariffs on imports from "
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0000,0.141,0,"Item 1A. Risk Factors The following summarizes factors that could have a material adverse effect on the Company's business, reputation, results of operations, f"
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0026,0.06,0,by governmental authorities regarding the Company's compliance with these obligations. If the Company fails to adequately comply with these rules and requiremen
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,AAPL_2025_item1a_0009,0.037,1,"component or product uses new technologies, initial capacity constraints may exist until the suppliers' yields have matured or their manufacturing capacities ha"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0002,0.693,0,"the availability and cost of energy, processing power limitations and the substantial power requirements for our data centers. Any delay or other complication i"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0003,0.351,0,". For example, as companies, including Tesla, have made rapid advancements in AI in recent years, such innovation demands exponentially greater compute, memory,"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0021,0.065,0,"potentially vulnerable to malware, ransomware, viruses, denial-of-service attacks, phishing attacks, social engineering, computer hacking, unauthorized access, "
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0012,0.044,1,"-effectively or hire and retain highly-skilled personnel there, our ability to manufacture our products profitably would be limited, which may harm our business"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0024,0.021,0,"affected by any disruptions caused by union activities. It is not uncommon for employees of certain trades at companies such as ours to belong to a union, which"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0011,0.008,0,"as well as from large utilities. In addition, decreases in the retail or wholesale prices of electricity from utilities or other renewable energy sources could "
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0004,0.001,0,"unable to meet our projected construction timelines, costs and production ramps at new factories, or we may experience difficulties in generating and maintainin"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0015,0.0,0,"may be required to defend or insure against product liability claims. The automobile industry generally experiences significant product liability claims, and as"
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0025,0.441,0,"our business. Business disruptions could harm our operations, lead to a decline in revenue and increase our costs. Factors that have caused and/or could in the "
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0022,0.436,0,"supply chains have not been compromised or that they do not contain exploitable vulnerabilities, defects or bugs that could result in a breach of or disruption "
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0021,0.274,0,"limited if our backups have been affected by the attack, or if restore from backups is delayed or not feasible. Individuals, groups of hackers and sophisticated"
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0018,0.196,1,"and geopolitical developments, including the implementation of tariffs by the USG or other governments, have in the past and/or could in the future have adverse"
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0026,0.171,0,", logistics, or other operations are disrupted for any reason, including natural disasters, high heat events, water shortages, power shortages, information tech"
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0028,0.086,0,"raw materials used in manufacturing processes, increased capital expenditures to improve facilities and equipment, higher compliance and energy costs to reduce "
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0001,0.085,1,• Failure to meet the evolving needs of our industry and markets may adversely impact our financial results. • Competition could adversely impact our market sha
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,NVDA_2025_item1a_0014,0.065,1,"products reduces our control over product quantity and quality, manufacturing yields, and product delivery schedules and could harm our business. We depend on f"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0018,0.007,1,"natural or human-caused disasters (including public health crises), geopolitical events, labor and trade disputes, or for other reasons, may result in our being"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0017,0.002,0,"work environments may not meet the needs or expectations of our employees or may be perceived as less favorable compared to other companies' policies, which cou"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0006,0.002,1,". In addition, because China-based sellers account for significant portions of our third-party seller services and advertising revenues, and China-based supplie"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0014,0.001,0,"customer service centers. For example, productivity across our fulfillment network is affected by regional labor market constraints, which increase payroll cost"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,AMZN_2025_item1a_0020,0.001,0,"and income from entering into, amending, or terminating such agreements or relationships; and • difficulty integrating under the commercial agreements. Our Busi"
