query_id,query,company_filter,relevant_chunk_ids
1,What supply chain disruptions or single-source supplier dependencies does the company face?,AAPL,"AAPL_2025_item1a_0008, AAPL_2025_item1a_0004, AAPL_2025_item1a_0002, AAPL_2025_item1a_0009"
2,What supply chain disruptions or single-source supplier dependencies does the company face?,TSLA,TSLA_2025_item1a_0012
3,What supply chain disruptions or single-source supplier dependencies does the company face?,NVDA,"NVDA_2025_item1a_0018, NVDA_2025_item1a_0001, NVDA_2025_item1a_0014"
4,What supply chain disruptions or single-source supplier dependencies does the company face?,AMZN,"AMZN_2025_item1a_0018, AMZN_2025_item1a_0006"
5,What supply chain disruptions or single-source supplier dependencies does the company face?,AMD,"AMD_2025_item1a_0058, AMD_2025_item1a_0015, AMD_2025_item1a_0059, AMD_2025_item1a_0030, AMD_2025_item1a_0011, AMD_2025_item1a_0002"
6,What government regulations or compliance requirements pose risks to the company?,AAPL,"AAPL_2025_item1a_0026, AAPL_2025_item1a_0022, AAPL_2025_item1a_0018, AAPL_2025_item1a_0025, AAPL_2025_item1a_0023, AAPL_2025_item1a_0021, AAPL_2025_item1a_0020"
7,What government regulations or compliance requirements pose risks to the company?,TSLA,"TSLA_2025_item1a_0024, TSLA_2025_item1a_0034, TSLA_2025_item1a_0037, TSLA_2025_item1a_0035, TSLA_2025_item1a_0036, TSLA_2025_item1a_0038"
8,What government regulations or compliance requirements pose risks to the company?,NVDA,"NVDA_2025_item1a_0036, NVDA_2025_item1a_0037, NVDA_2025_item1a_0023, NVDA_2025_item1a_0052, NVDA_2025_item1a_0053, NVDA_2025_item1a_0003, NVDA_2025_item1a_0030, NVDA_2025_item1a_0028"
9,What government regulations or compliance requirements pose risks to the company?,AMZN,"AMZN_2025_item1a_0027, AMZN_2025_item1a_0024, AMZN_2025_item1a_0023, AMZN_2025_item1a_0005, AMZN_2025_item1a_0026"
10,What government regulations or compliance requirements pose risks to the company?,AMD,"AMD_2025_item1a_0047, AMD_2025_item1a_0048, AMD_2025_item1a_0046, AMD_2025_item1a_0033, AMD_2025_item1a_0038, AMD_2025_item1a_0039"
